mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,is_changing_course,start
211237730,27122.7,-692.506,7200,0.987055,0.990378,1,1,1,0,1,0,0,0,0,0.000619789,0.939976,0.0594037,1,0.999906,0,0
261146000,28373.6,3344.53,7200,0.989159,0.981272,1,1,1,0,0,1,0,0,0,0.00567365,0.940432,0.053894,0.999999,0.999139,0,0
211237730,27037.2,-566.381,7260,0.989781,0.967942,1,1,1,0,1,0,0,0,0,0.000526462,0.956712,0.0427616,1,0.999944,0,0
261146000,28255.4,3281.75,7260,0.997887,0.997574,1,1,1,0,0,1,0,0,0,0.567867,0.42056,0.0115736,1,0.999676,0,0
211237730,26950.6,-446.563,7320,0.989579,0.978328,1,1,1,0,1,0,0,0,0,0.000562072,0.958075,0.0413631,0.999999,0.999997,0,0
261146000,28142.4,3213.91,7320,0.995956,0.994571,1,1,1,0,0,1,0,0,0,4.22536e-06,0.981809,0.0181867,1,0.999975,1,0
211237730,26871.7,-337.519,7380,0.988631,0.969763,1,1,1,0,1,0,0,0,0,0.00120407,0.94927,0.0495263,1,0.999999,0,0
261146000,28018.4,3152.74,7380,0.844844,0.878947,1,1,1,0,0,1,0,0,0,0,0.259434,0.740566,0.999986,0.999974,0,0
211237730,26799.8,-235.976,7440,0.989553,0.980008,1,1,1,0,1,0,0,0,0,0.000561525,0.965068,0.0343707,1,0.99998,0,0
261146000,27908.8,3081.97,7440,0.867433,0.66072,1,1,1,0,0,1,0,0,0,0.202048,0.258408,0.539544,0.999999,0.997691,1,0
211237730,26726.9,-130.557,7500,0.990374,0.987687,1,1,1,0,1,0,0,0,0,0.000415407,0.954442,0.0451427,0.999989,0.999988,0,0
261146000,27793.7,3014.29,7500,0.573208,0.92384,1,1,1,0,0,1,0,0,0,0,0.492937,0.507063,0.999999,0.999994,0,0
211237730,26643.9,-25.9095,7560,0.992219,0.982133,1,1,1,0,1,0,0,0,0,0.000266592,0.978765,0.0209689,1,0.999918,0,0
261146000,27696.4,2942.38,7560,0.989738,0.851108,1,1,1,0,0,1,0,0,0,0,0.140849,0.859151,0.999998,0.990001,0,0
211237730,26571,94.9437,7620,0.992649,0.977763,1,1,1,0,1,0,0,0,0,0.000394035,0.952352,0.0472537,1,0.999994,0,0
261146000,27593.1,2878.2,7620,0.991107,0.855961,1,1,1,0,0,1,0,0,0,0,0.135865,0.864135,0.999998,0.999941,0,0
211237730,26493.1,207.403,7680,0.992622,0.999935,1,1,1,1,1,0,0,0,0,0.000386172,0.917646,0.0819681,1,0.815473,0,0
261146000,27494.7,2806.99,7680,0.989119,0.988743,1,1,1,0,0,1,0,0,0,0,0.00138872,0.998611,0.999995,0.999814,1,0
211237730,26415.1,337.379,7740,0.985227,0.999845,1,1,1,0,1,0,0,0,0,0.000807388,0.978955,0.0202379,1,1,0,0
261146000,27375.1,2746.81,7740,0.992562,0.993269,1,1,1,0,0,1,0,0,0,0,0.000292026,0.999708,1,0.999999,1,0
211237730,26314.9,450.028,7800,0.990862,0.999916,1,1,1,1,1,0,0,0,0,0.000632219,0.975071,0.0242966,1,0.99999,1,0
261146000,27260.7,2679.11,7800,0.989796,0.988213,1,1,1,1,0,1,0,0,0,0,0.00297257,0.997027,0.999996,0.999955,1,0
211237730,26215.4,577.873,7860,0.986121,0.99987,1,1,1,1,1,0,0,0,0,0.000774474,0.90514,0.0940855,1,0.999948,0,0
261146000,27150.4,2620.05,7860,0.994531,0.789267,1,1,1,0,0,1,0,0,0,0,0.205963,0.794037,0.999999,0.999949,1,0
211237730,26131.5,708.939,7920,0.990916,0.99992,1,1,1,0,1,0,0,0,0,0.000542266,0.968798,0.0306595,1,0.999782,0,0
261146000,27038.1,2559.31,7920,0.991102,0.75407,1,1,1,0,0,1,0,0,0,0,0.236701,0.763299,0.999999,0.999785,1,0
211237730,26037.3,843.705,7980,0.990838,0.999914,1,1,1,0,1,0,0,0,0,0.000472744,0.999071,0.000456116,1,0.999977,1,0
261146000,26929.7,2496.31,7980,0.984018,0.465975,1,1,1,0,0,1,0,0,0,0,0.524323,0.475677,0.999998,0.999943,0,0
211237730,25947.5,975.498,8040,0.937323,0.99936,1,1,1,0,1,0,0,0,0,0.00238883,0.841601,0.156011,0.999999,0.998435,1,0
261146000,26821,2425.74,8040,0.485095,0.440863,1,1,1,0,0,1,0,0,0,0,0.0691252,0.930875,0.999671,0.911203,0,0
211237730,25848,1095.03,8100,0.997235,0.969045,1,1,1,0,1,0,0,0,0,2.85378e-07,0.999853,0.000146396,1,0.999972,0,0
261146000,26726,2365.34,8100,0.721816,0.272052,1,1,1,0,0,1,0,0,0,0,0.110729,0.889271,0.999847,0.986765,1,0
211237730,25771.3,1223.67,8160,0.986136,0.999864,1,1,1,0,1,0,0,0,0,0,0.874719,0.125281,1,0.999922,0,0
261146000,26625.6,2302.38,8160,0.847305,0.143807,1,1,1,0,0,1,0,0,0,0,0,1,0.999996,0.992046,1,0
211237730,25681.2,1352.03,8220,0.992086,0.999925,1,1,1,0,1,0,0,0,0,0,0.925844,0.0741561,1,0.999984,0,0
