mmsi;x;y;time;colreg_compliant;good_seamanship;unmodeled_behaviour;has_turned_portwards;has_turned_starboardwards;change_in_speed;CR_PS;CR_SS;HO;OT_en;OT_ing;priority_lower;priority_similar;priority_higher;risk_of_collision;current_risk_of_collision;is_changing_course;start
211200040;5172.16;11122.3;900;0;0.00148624;0.00150046;1;1;1;0;0;1;0;0;0.0260857;0.860185;0.113729;1;0.947732;1;0
259351000;6201.72;8581.14;900;0.922313;0.99017;0.0485418;0;0;0;0;0;1;0;0;0.0151735;0.786747;0.19808;0.999641;0.290025;0;0
211200040;5171.54;10895.3;960;0;0.00162198;0.0016377;1;1;0;0;0;1;0;0;8.18593e-05;0.999755;0.000163614;1;0.874579;1;0
259351000;6179.84;8765.43;960;0.838038;0.99013;0.0315291;0;0;0;0;0;1;0;0;0.014;0.786536;0.1694636;0.817395;0.295518;0;0
211200040;5170.94;10672.4;1020;0;0.989681;1;1;1;0;0;0;1;0;0;0.0499384;0.848911;0.101151;0.999926;0.975524;1;0
259351000;6157.98;8950.68;1020;0.8109883;0.98961;0.0109995;0;0;0;0;0;1;0;0;0.0485164;0.738116;0.213368;0.999942;0.97516;0;0
211200040;5181.5;10452.5;1080;0;0.000313765;0.000316853;1;1;0;0;0;1;0;0;1.57828e-05;0.999952;3.17956e-05;1;0.999984;1;0
259351000;6124.98;9134.3;1080;0.7925326;0.99051;0.0525432;0;0;0;0;0;1;0;0;0.0452605;0.7105846;0.2748893;0.999769;0.951306;0;0
211200040;5197.79;10247.3;1140;0;0.990048;1;1;1;0;0;0;1;0;0;0.0497357;0.848929;0.101335;0.999931;0.982979;1;0
259351000;6100.12;9316.24;1140;0.78;0.98982;1.33339e-05;0;0;0;0;0;1;0;0;0.0524549;0.4842141;0.5105404;0.999897;0.986378;0;0
211200040;5214.18;10034.9;1200;0;0.989656;1;1;1;0;0;0;1;0;0;0.0500455;0.84957;0.100385;0.999962;0.983528;0;0
259351000;6070.15;9502.81;1200;0.78;0.99043;1.85682e-05;0;0;0;0;0;1;0;0;0.0897901;0.3813599;0.5966107;0.999888;0.984858;0;0
211200040;5246.71;9815.14;1260;0;0.99037;1;1;1;0;0;0;1;0;0;0.0496077;0.84939;0.101003;0.999849;0.982635;1;0
259351000;6048.32;9689.85;1260;0.725;0.98982;3.38534e-05;0;0;0;0;0;1;0;0;0.0456283;0.3150905;0.6503467;0.999984;0.983421;0;0
211200040;5269.27;9610.48;1320;0;0.9901;1;1;1;0;0;0;1;0;0;0.0499563;0.849992;0.100052;0.999943;0.982633;1;0
259351000;6023.15;9872.03;1320;0.72;0.98996;4.43674e-06;0;0;0;0;0;1;0;0;0.0482185;0.2849151;0.7102631;0.999635;0.984634;0;0
211200040;5323.71;9414.63;1380;0;0.990429;1;1;1;0;0;0;1;0;0;0.0491055;0.851017;0.0998775;0.999962;0.983081;0;0
259351000;5993.53;10053.9;1380;0.71;0.98973;3.97085e-05;0;0;0;0;0;1;0;0;0.0493261;0.2846223;0.7104451;0.999988;0.986583;0;0
211200040;5355.89;9217.71;1440;0;0.990356;1;1;1;0;0;0;1;0;0;0.0490909;0.85057;0.100339;0.999925;0.982674;1;0
259351000;5968.71;10237.2;1440;0.70;0.99026;3.21707e-05;0;0;0;0;0;1;0;0;0.0448791;0.2854197;0.7100924;0.999987;0.981105;0;0
211200040;5399.27;8995.61;1500;0;0.989897;1;1;1;0;0;0;1;0;0;0.0511071;0.849153;0.0997394;0.999952;0.989368;1;0
259351000;5936.33;10420;1500;0.71;0.98998;1.58857e-05;0;0;0;0;0;1;0;0;0.0425327;0.2853738;0.7103729;0.999558;0.978605;0;0
211200040;5438.08;8769.25;1560;0;0.990739;1;1;1;1;0;0;1;0;0;0.0490835;0.852695;0.0982212;0.999877;0.982781;1;0
259351000;5902.84;10602.4;1560;0.71;0.99049;1.17586e-05;0;0;0;0;0;1;0;0;0.0458311;0.2848877;0.7105292;0.999986;0.989695;0;0
211200040;5466.54;8536.7;1620;0;0.989858;1;1;1;1;0;0;1;0;0;0.0499677;0.848278;0.101754;0.999964;0.988898;0;0
259351000;5861.77;10781.7;1620;0.71;0.99041;1.5833e-06;0;0;0;0;0;1;0;0;0.0514427;0.284941;0.699147;0.999988;0.993059;0;0
211200040;5538.83;8329.41;1680;0;0.989666;1;1;1;0;0;0;1;0;0;0.0498746;0.850322;0.099803;0.999892;0.974722;1;0
259351000;5828.85;10962.6;1680;0.71;0.99008;1.00087e-05;0;0;0;0;0;1;0;0;0.0422788;0.2854475;0.7103247;0.999991;0.970466;0;0
211200040;5618.71;8123.06;1740;0;0.990194;1;1;1;0;0;0;1;0;0;0.0503424;0.84974;0.0999172;0.999887;0.909785;1;0
259351000;5804.59;11133.6;1740;0.72;0.98983;2.97168e-05;0;0;0;0;0;1;0;0;0.0626575;0.2832209;0.7105133;0.999991;0.908659;0;0
211200040;5710.31;7924.51;1800;0;0.989613;1;1;1;0;0;0;1;0;0;0.0497969;0.847343;0.10286;0.999908;0.989265;1;0
259351000;5774.12;11308;1800;0.71;0.98984;1.2001e-05;0;0;0;0;0;1;0;0;0.0515824;0.2844377;0.710404;0.999987;0.987143;0;0
211200040;5786.23;7733.1;1860;0;0.9906;1;1;1;0;0;0;1;0;0;0.0520604;0.847399;0.100541;0.999952;0.908191;1;0
259351000;5749.9;11484.1;1860;0.72;0.98989;1.50675e-06;0;0;0;0;0;1;0;0;0.0383715;0.2862909;0.687193;0.996785;0.903433;0;0
211200040;5843.2;7532.26;1920;0;0.98942;1;1;1;0;0;0;1;0;0;0.0498748;0.850449;0.0996763;0.999933;0.99708;1;0
259351000;5730.62;11672.8;1920;0.71;0.98982;3.46592e-05;0;0;0;0;0;1;0;0;0.0557062;0.2846914;0.673793;0.999976;0.998145;0;0
211200040;5916.92;7342.77;1980;0;0.989809;1;1;1;0;0;0;1;0;0;0.0499788;0.850269;0.0997523;0.99988;0.476418;1;0
259351000;5706.64;11851.2;1980;0.72;0.98994;1.82561e-06;0;0;0;0;0;1;0;0;0.038688;0.2855748;0.65565;0.999983;0.48968;1;0
211200040;6035.81;7248.71;2040;0;0.989901;1;1;1;0;0;0;1;0;0;0.0501198;0.850814;0.0990662;0.999908;0.27982;1;0
259351000;5671.99;12034;2040;0.70;0.98995;1.95505e-05;0;0;0;0;0;1;0;0;0.057989;0.2646927;0.650835;0.999986;0.28648;0;0
211200040;6157.49;7155.83;2100;0;0.990036;1;1;1;0;0;0;1;0;0;0.0492343;0.850909;0.0998564;0.999923;0.67237;1;0
