mmsi;date_time_utc;sog;cog;true_heading;nav_status;calc_speed;lon;lat
259299000;2021-01-08 08:27:00;8.2;80.9;81.0;0;;5.507098;59.781075
259299000;2021-01-08 08:28:00;24.0;95.2;95.0;0;;5.51417;59.78105
259299000;2021-01-08 08:29:00;31.2;73.0;70.0;0;;5.530902;59.781689
259299000;2021-01-08 08:30:00;30.8;59.3;55.0;0;;5.54672;59.7842
259299000;2021-01-08 08:31:00;30.9;53.3;52.0;0;;5.560775;59.789275
259299000;2021-01-08 08:32:00;30.9;54.3;54.0;0;;5.57429;59.7942
259299000;2021-01-08 08:33:00;30.9;53.2;52.0;0;;5.588143;59.799367
259299000;2021-01-08 08:34:00;30.7;46.3;46.0;0;;5.600843;59.8051
259299000;2021-01-08 08:35:00;30.9;47.0;47.0;0;;5.61293;59.8109
259299000;2021-01-08 08:36:00;31.0;54.5;55.0;0;;5.626413;59.816367
259299000;2021-01-08 08:37:00;31.2;59.5;58.0;0;;5.64083;59.8207
259299000;2021-01-08 08:38:00;31.3;65.4;67.0;0;;5.656247;59.824867
259299000;2021-01-08 08:39:00;31.3;75.4;75.0;0;;5.67254;59.8272
259299000;2021-01-08 08:40:00;31.2;76.5;76.0;0;;5.689507;59.829333
259299000;2021-01-08 08:41:00;31.0;79.4;80.0;0;;5.70605;59.831
