;mmsi;date_time_utc;sog;cog;true_heading;nav_status;calc_speed;lon;lat
54;257255000;2019-04-18 18:30:00;10.2;25.1;25.0;0.0;;9.56027;64.1139
55;257255000;2019-04-18 18:31:00;10.2;25.5;25.0;0.0;;9.562995;64.116362
56;257255000;2019-04-18 18:32:00;10.2;25.2;25.0;0.0;;9.565748;64.11896
57;257255000;2019-04-18 18:33:00;10.2;25.6;25.0;0.0;;9.56863;64.1216
58;257255000;2019-04-18 18:34:00;10.2;25.3;25.0;0.0;;9.571325;64.124064
59;257255000;2019-04-18 18:35:00;10.2;25.6;25.0;0.0;;9.57412;64.1267
60;257255000;2019-04-18 18:36:00;10.2;25.4;24.0;0.0;;9.576818;64.129155
61;257255000;2019-04-18 18:37:00;10.3;25.3;24.0;0.0;;9.57961;64.1317
62;257255000;2019-04-18 18:38:00;10.2;25.5;24.0;0.0;;9.582357;64.134255
63;257255000;2019-04-18 18:39:00;10.2;25.5;24.0;0.0;;9.58519;64.1368
64;257255000;2019-04-18 18:40:00;10.3;25.0;23.0;0.0;;9.587942;64.139364
65;257255000;2019-04-18 18:41:00;10.2;25.2;23.0;0.0;;9.590718;64.14196
66;257255000;2019-04-18 18:42:00;10.2;25.5;23.0;0.0;;9.59349;64.1445
67;257255000;2019-04-18 18:43:00;10.3;25.4;22.0;0.0;;9.596363;64.147136
68;257255000;2019-04-18 18:44:00;10.3;25.5;22.0;0.0;;9.5991;64.1497
69;257255000;2019-04-18 18:45:00;10.2;25.5;22.0;0.0;;9.60192;64.1523
70;257255000;2019-04-18 18:46:00;10.2;25.5;22.0;0.0;;9.604751;64.154844
71;257255000;2019-04-18 18:47:00;10.2;24.7;21.0;0.0;;9.60744;64.1574
72;257255000;2019-04-18 18:48:00;10.1;25.1;22.0;0.0;;9.610215;64.15994
73;257255000;2019-04-18 18:49:00;10.0;25.2;22.0;0.0;;9.61292;64.1625
74;257255000;2019-04-18 18:50:00;10.0;24.9;22.0;0.0;;9.615652;64.16504
75;257255000;2019-04-18 18:51:00;10.1;25.4;22.0;0.0;;9.61831;64.1675
76;257255000;2019-04-18 18:52:00;10.1;25.1;21.0;0.0;;9.621115;64.170136
77;257255000;2019-04-18 18:53:00;10.2;25.0;22.0;0.0;;9.62378;64.1726
78;257255000;2019-04-18 18:54:00;10.2;24.7;21.0;0.0;;9.626589;64.175236
79;257255000;2019-04-18 18:55:00;10.2;24.8;22.0;0.0;;9.629352;64.177742
80;257255000;2019-04-18 18:56:00;10.2;24.1;22.0;0.0;;9.63202;64.1803
81;257255000;2019-04-18 18:57:00;10.2;24.8;22.0;0.0;;9.634755;64.182945
82;257255000;2019-04-18 18:58:00;10.2;24.3;23.0;0.0;;9.6374;64.1855
83;257255000;2019-04-18 18:59:00;10.2;24.5;23.0;0.0;;9.640214;64.188041
84;257255000;2019-04-18 19:00:00;10.0;25.2;24.0;0.0;;9.642877;64.190597
85;257255000;2019-04-18 19:01:00;10.0;25.6;24.0;0.0;;9.645595;64.19315
86;257255000;2019-04-18 19:02:00;10.0;26.5;25.0;0.0;;9.64828;64.1956
87;257255000;2019-04-18 19:03:00;10.0;26.5;25.0;0.0;;9.65114;64.198145
88;257255000;2019-04-18 19:04:00;10.0;25.8;24.0;0.0;;9.653931;64.200633
89;257255000;2019-04-18 19:05:00;10.0;26.0;24.0;0.0;;9.65667;64.2031
90;257255000;2019-04-18 19:06:00;10.0;26.1;24.0;0.0;;9.659524;64.205736
91;257255000;2019-04-18 19:07:00;10.0;25.5;24.0;0.0;;9.66221;64.2082
92;257255000;2019-04-18 19:08:00;10.1;24.2;24.0;0.0;;9.664919;64.210736
93;257255000;2019-04-18 19:09:00;10.1;24.8;25.0;0.0;;9.66756;64.2132
94;257255000;2019-04-18 19:10:00;10.0;24.8;25.0;0.0;;9.670283;64.215836
95;257255000;2019-04-18 19:11:00;10.1;25.5;25.0;0.0;;9.67301;64.2183
96;257255000;2019-04-18 19:12:00;10.1;25.3;26.0;0.0;;9.67574;64.2208
97;257255000;2019-04-18 19:13:00;10.2;25.6;25.0;0.0;;9.67853;64.2234
98;257255000;2019-04-18 19:14:00;10.1;24.8;26.0;0.0;;9.68125;64.2259
99;257255000;2019-04-18 19:15:00;10.0;24.6;26.0;0.0;;9.683975;64.228527
100;257255000;2019-04-18 19:16:00;10.0;24.5;27.0;0.0;;9.68659;64.2309
101;257255000;2019-04-18 19:17:00;;;;;;9.6893;64.2335
