mmsi,x,y,cog,sog,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,stands_on_correct,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,is_risk_of_collision,situation_started,will_give_way,is_pre_ample_time,safe_distance,safe_distance_to_midpoint,gives_way_correct,stand_on_role,change_in_course_port,change_in_course_starboard,change_in_speed_lower,change_in_speed_higher,mean_initial_course,max_initial_course,mean_initial_speed,max_initial_speed,
258265000,21029.7,11304.3,4.45233,6.7,900,0.981254,0,0,0.940081,3.38574e-05,0.00974588,0.0508485,0.949981,0.153416,0.147112,0.148207,0.15056,0.400704,0.0523287,0.899292,0.0483794,1,0.253139,0,1,1,1,0.852888,0.320314,0,0.0500189,-0,-0,-102.202,-100,7.14707,7.2,
258217000,18947.6,6941.36,4.61465,5.4,960,0.977568,0,0,0.982763,0.00019231,0.00844248,0.00323008,0.988327,0.181267,0.193249,0.188087,0.246511,0.190886,0.0566678,0.887369,0.055963,1,0.0574259,0,1,1,1,0.811913,0.426837,0.00844248,0.00323008,-0.00174303,-0,-90.321,-90,5.7683,5.76,
258265000,20976.3,11104.6,4.51342,6.8,960,0.980463,0,0,0.933241,7.42335e-05,0.0112749,0.057593,0.943541,0.143269,0.140326,0.134889,0.138075,0.443441,0.0504662,0.903587,0.0459471,1,0.305154,0,1,1,1,0.859674,0.29781,0,0.0564593,-0,-0,-102.15,-100,7.16368,7.2,
258217000,18928.4,6779.82,4.62512,5.2,1020,0.976563,0,0,0.982714,0.000235935,0.00995844,0.00482444,0.986664,0.104361,0.113439,0.110547,0.564075,0.107578,0.0574196,0.894522,0.048058,1,0.457005,0,1,1,1,0.889453,0.644827,0.00995844,0.00337799,-0.00220443,-0,-90.0716,-90,5.76997,5.76,
258265000,20931.2,10900,4.48724,6.8,1020,0.979677,0,0,0.93819,5.69163e-05,0.0102268,0.0520652,0.948914,0.083033,0.084254,0.0780368,0.0791516,0.675525,0.04829,0.907128,0.0445816,1,0.594434,0,1,1,1,0.915746,0.195421,0,0.0510862,-0,-0,-101.756,-100,7.17749,7.2,
258217000,18905.9,6610.42,4.60592,5.6,1080,0.977476,0,0,0.982077,0.000155461,0.00800646,0.0056616,0.98821,0.111178,0.113343,0.109833,0.560518,0.105128,0.0586638,0.885427,0.0559096,1,0.451562,0,1,1,1,0.890167,0.646021,0.00800646,0.00378329,-0.000482871,-0,-90.1172,-90,5.76809,5.76,
258265000,20897.2,10703.4,4.52215,6.6,1080,0.978132,0,0,0.933402,6.08566e-05,0.0124657,0.0574157,0.943967,0.079577,0.0790027,0.0798503,0.0741595,0.68741,0.0512125,0.899297,0.0494907,1,0.606273,0,1,1,1,0.920997,0.187841,0,0.0560329,-0,-0,-101.931,-100,7.17705,7.2,
258217000,18891.7,6437.45,4.57974,5.6,1140,0.977807,0,0,0.984337,6.59777e-05,0.00859847,0.00544073,0.987951,0.112019,0.111653,0.108992,0.55757,0.109766,0.0573468,0.894949,0.0477041,1,0.455322,0,1,1,1,0.891008,0.644334,0.00859847,0.00345056,-0.00134329,-0,-90.1284,-90,5.76871,5.76,
258265000,20859.7,10504.8,4.52564,6.5,1140,0.981224,0,0,0.936569,5.5307e-05,0.0106135,0.0541544,0.947193,0.0827732,0.0792309,0.0806327,0.0759883,0.681375,0.0500566,0.903333,0.0466101,1,0.600011,0,1,1,1,0.920769,0.188571,0,0.052807,-0,-0,-101.854,-100,7.1767,7.2,
258217000,18871.9,6274.31,4.60941,5.2,1200,0.976867,0,0,0.986282,3.59288e-05,0.00525568,0.000622872,0.994743,0.0827542,0.0765106,0.0762318,0.683626,0.0808776,0.0529858,0.895336,0.0516783,1,0.607565,0,1,1,1,0.847258,0.736659,0.00525568,1.27548e-06,-0.000282568,-0,-89.9912,-90,5.76445,5.76,
258265000,20818.2,10309.1,4.55356,6.6,1200,0.981759,0,0,0.934398,0.000138015,0.0111923,0.387221,0.612779,0.0584395,0.0566621,0.0604612,0.05377,0.770667,0.0508174,0.916579,0.0326035,1,0.713337,0,1,1,1,1,0.13248,0,0.387221,-0,-0,-98.9998,-100,7.17995,7.2,
