mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,change_in_speed,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,risk_of_collision,current_risk_of_collision,is_changing_course,start
211200040,6157.49,7155.83,2100,0,0.990082,1,1,1,0,0,0,1,0,0,0.0499536,0.850499,0.0995472,0.999905,0.676223,1,0
259351000,5643.12,12210.5,2100,0,0.98923,0.00033011,0,0,0,0,0,1,0,0,0.0538337,0.841616,0.104551,0.999995,0.630258,1,0
211200040,6239.88,6951.6,2160,0,0.990023,1,1,1,1,0,0,1,0,0,0.0498784,0.850207,0.0999145,0.999883,0.995263,1,0
259351000,5643.69,12396.3,2160,0,0.9903,0.000274141,0,0,0,0,0,1,0,0,0.0679532,0.818518,0.113529,0.999993,0.999383,1,0
211200040,6286.46,6705.58,2220,0,0.990125,1,1,1,1,0,0,1,0,0,0.0500442,0.848554,0.101402,0.999961,0.998253,0,0
259351000,5655.39,12576.6,2220,0,0.99019,0.000404909,1,0,0,0,0,1,0,0,0.0346231,0.855291,0.110086,0.999992,0.99689,0,0
211200040,6362.27,6475.63,2280,0,0.990137,1,1,1,1,0,0,1,0,0,0.0497226,0.851767,0.0985106,0.99997,0.999913,0,0
259351000,5655.99,12767,2280,0,0.99036,0.000360046,1,0,0,0,0,1,0,0,0.0368175,0.895374,0.0678081,0.999997,0.999987,0,0
211200040,6446.36,6266.86,2340,0,0.98989,1,1,1,1,0,0,1,0,0,0.0505197,0.851956,0.0975242,0.99995,0.992184,1,0
259351000,5667.73,12953.5,2340,0,0.98983,0.000318349,1,0,0,0,0,1,0,0,0.0633751,0.86695,0.0696746,0.997153,0.990866,0,0
211200040,6453.58,6253.53,2400,0,0.989613,1,1,1,0,0,0,1,0,0,0.0503557,0.849185,0.100459,0.999962,0.273788,0,0
259351000,5668.31,13131.7,2400,0,0.98963,0.000270321,1,0,0,0,0,1,0,0,0.0557809,0.89884,0.0453789,0.999999,0.163915,0,0
