r_cpa;COLREG;ample_time
390.1085;3.0;560.2567
293.94995;3.0;37.61579
571.74506;3.0;53.92196
418.18738;3.0;43.296547
383.39688;3.0;30.081184
551.6876;3.0;31.208078
470.9547;3.0;36.340046
680.1154;3.0;114.72638
270.38376;3.0;44.05572
680.1154;3.0;159.49182
635.42114;3.0;22.912468
456.22495;3.0;40.56912
569.29114;3.0;84.25225
594.87256;3.0;52.417637
632.0251;3.0;59.78408
338.05542;3.0;52.008736
373.36987;3.0;22.628675
268.27582;3.0;43.836952
291.46594;3.0;60.530796
1003.7845;3.0;328.8106
732.7718;3.0;229.32309
231.3519;3.0;41.632305
413.13208;3.0;35.45368
529.17395;3.0;343.89896
344.6462;3.0;359.82956
638.0619;3.0;76.760155
774.57214;3.0;26.440254
846.41595;3.0;57.00059
786.5079;3.0;99.76576
494.74313;3.0;148.05687
257.5435;3.0;142.97551
842.3941;3.0;51.302822
250.26564;3.0;41.46063
287.9589;3.0;33.889107
363.33395;3.0;31.423206
354.3007;3.0;85.394585
277.7399;3.0;51.16797
400.84683;3.0;47.585655
241.89601;3.0;108.37948
1148.5104;3.0;56.830097
364.94888;3.0;13.119183
223.57124;3.0;108.469505
241.9854;3.0;127.5519
399.37982;3.0;42.953957
1057.0476;3.0;74.70337
406.07648;3.0;76.57142
434.49155;3.0;1641.8064
306.5813;3.0;54.709343
391.93332;3.0;65.50623
391.93332;3.0;134.65045
349.2303;3.0;53.775444
1034.0192;3.0;54.642822
247.3173;3.0;46.467358
352.53177;3.0;23.56978
346.1356;3.0;51.100906
293.46893;3.0;904.16815
835.5372;3.0;66.23538
373.63925;3.0;19.170095
795.6528;3.0;101.56914
342.79498;3.0;85.97624
600.2054;3.0;64.575386
205.69426;3.0;31.05233
296.43423;3.0;64.1978
263.31284;3.0;37.622086
281.41373;3.0;41.583107
292.37445;3.0;37.327965
527.5437;3.0;44.420612
438.21863;3.0;950.2729
220.49512;3.0;104.242386
396.39398;3.0;53.035522
444.79608;3.0;66.1207
292.9895;3.0;195.3374
240.17845;3.0;50.293907
810.6645;3.0;62.682816
706.49194;3.0;78.21982
810.6645;3.0;75.41412
390.1412;3.0;32.82607
382.40488;3.0;31.485739
458.9021;3.0;68.12991
230.2952;3.0;81.87915
342.8152;3.0;138.88406
380.89874;3.0;30.977577
1189.929;3.0;25.581879
1189.929;3.0;28.082796
343.74545;3.0;50.39678
277.77448;3.0;44.49968
338.0577;3.0;90.832924
486.6714;3.0;56.19526
486.6714;3.0;67.69374
329.44882;3.0;51.852203
707.95276;3.0;52.661316
236.3122;3.0;43.956005
293.21774;3.0;50.26188
502.53482;3.0;74.43853
321.8599;3.0;54.097927
439.07413;3.0;31.630554
511.196;3.0;106.8459
602.6426;3.0;82.283066
1841.3593;3.0;30.08053
587.1058;3.0;73.3965
496.4909;3.0;100.92475
638.56287;3.0;9.315488
449.5275;3.0;61.666046
276.01105;3.0;9.143181
309.39032;3.0;25.826632
991.51636;3.0;153.69043
293.58652;3.0;32.98343
331.97018;3.0;64.42157
386.0313;3.0;42.231007
366.49344;3.0;39.92632
470.0208;3.0;24.733093
341.44742;3.0;28.360394
315.44098;3.0;90.185646
916.5481;3.0;44.27996
281.16223;3.0;109.91312
712.1034;3.0;68.26083
249.6898;3.0;21.72466
461.86658;3.0;66.17402
543.0062;3.0;1168.5768
210.76814;3.0;44.883087
1345.9125;3.0;151.54436
740.60474;-1.0;12.188401
631.4;-1.0;143.21362
654.8718;-1.0;32.548466
377.02823;-1.0;84.52517
660.15607;-1.0;112.4437
548.954;-1.0;29.54927
1069.4602;-1.0;15.0351
592.25616;-1.0;371.7334
314.53568;-1.0;15.68432
345.94135;-1.0;703.1977
1213.861;-1.0;76.4481
409.32315;-1.0;73.6941
775.18243;-1.0;134.38281
822.9583;-1.0;543.39465
1799.3663;-1.0;784.3911
372.6215;-1.0;152.64328
206.00021;-1.0;174.04189
1105.1539;-1.0;212.2798
562.84314;-1.0;139.73083
1174.4998;-1.0;67.95036
572.95013;-1.0;173.58093
1496.8961;-1.0;139.28241
728.3233;-1.0;18.43224
438.2166;-1.0;122.09031
709.43756;-1.0;495.63934
412.01178;-1.0;42.228817
578.60144;-1.0;43.159935
560.9003;-1.0;225.12491
537.2596;-1.0;58.604332
721.3828;-1.0;143.46724
751.1504;-1.0;211.33759
694.144;-1.0;98.35497
461.01526;-1.0;301.21954
297.74017;-1.0;71.273506
492.26678;-1.0;158.78516
243.81863;-1.0;293.214
565.8329;-1.0;15.803567
692.3691;-1.0;56.716396
396.5566;-1.0;95.41138
452.09265;-1.0;100.51271
462.7014;-1.0;320.2721
878.5922;-1.0;125.42384
286.38885;-1.0;44.355267
708.70764;-1.0;210.27385
258.50848;-1.0;72.45127
290.24893;-1.0;27.79719
1364.5765;-1.0;34.93715
325.8248;-1.0;171.83623
1202.5824;-1.0;430.91003
551.40295;-1.0;29.011013
223.64543;-1.0;21.318565
437.6377;-1.0;257.69522
312.3907;-1.0;17.463272
862.56287;-1.0;26.420713
1348.5386;-1.0;172.6712
