mmsi;date_time_utc;sog;cog;true_heading;nav_status;calc_speed;lon;lat
258352500;2020-01-04 15:50:00;23.6;302.8;303.0;0;;5.513583;59.780433
258352500;2020-01-04 15:51:00;6.2;270.8;271.0;0;;5.50936;59.781
258352500;2020-01-04 15:52:00;6.6;252.3;254.0;0;;5.505883;59.780629
258352500;2020-01-04 15:53:00;4.9;273.0;293.0;0;;5.50263;59.7802
258352500;2020-01-04 15:54:00;;;;;;5.50221;59.7803
257029700;2020-01-04 15:35:00;0.5;202.0;267.0;0;;5.466836;59.7496
257029700;2020-01-04 15:36:00;4.1;92.4;88.0;0;;5.467383;59.7496
257029700;2020-01-04 15:37:00;10.9;97.0;99.0;0;;5.47224;59.74948
257029700;2020-01-04 15:38:00;11.6;98.1;98.0;0;;5.478592;59.749
257029700;2020-01-04 15:39:00;11.7;97.9;98.0;0;;5.484923;59.748589
257029700;2020-01-04 15:40:00;11.6;85.5;79.0;0;;5.491407;59.748367
257029700;2020-01-04 15:41:00;11.4;62.7;58.0;0;;5.497375;59.74935
257029700;2020-01-04 15:42:00;11.6;53.5;55.0;0;;5.502597;59.751147
257029700;2020-01-04 15:43:00;11.6;56.0;57.0;0;;5.50789;59.75309
257029700;2020-01-04 15:44:00;11.6;55.8;57.0;0;;5.51311;59.754833
257029700;2020-01-04 15:45:00;11.5;53.9;54.0;0;;5.518514;59.75666
257029700;2020-01-04 15:46:00;11.5;53.6;54.0;0;;5.523548;59.758638
257029700;2020-01-04 15:47:00;11.4;52.7;53.0;0;;5.528699;59.760555
257029700;2020-01-04 15:48:00;11.3;53.9;54.0;0;;5.533616;59.76243
257029700;2020-01-04 15:49:00;11.3;54.9;54.0;0;;5.538822;59.76426
257029700;2020-01-04 15:50:00;11.2;50.9;49.0;0;;5.543807;59.766155
257029700;2020-01-04 15:51:00;11.2;49.5;49.0;0;;5.54856;59.768182
257029700;2020-01-04 15:52:00;11.2;50.8;49.0;0;;5.553288;59.770073
257029700;2020-01-04 15:53:00;11.4;41.6;43.0;0;;5.55777;59.77232
257029700;2020-01-04 15:54:00;11.5;42.2;42.0;0;;5.561994;59.77468
259620000;2020-01-04 15:35:00;7.7;356.0;357.0;0;;5.332387;60.02657
259620000;2020-01-04 15:36:00;7.8;353.0;353.0;0;;5.331841;60.028764
259620000;2020-01-04 15:37:00;7.9;349.8;353.0;0;;5.33108;60.031
259620000;2020-01-04 15:38:00;8.1;350.2;353.0;0;;5.330353;60.033155
259620000;2020-01-04 15:39:00;8.2;351.5;353.0;0;;5.32959;60.0354
259620000;2020-01-04 15:40:00;8.2;351.4;355.0;0;;5.3289;60.037564
259620000;2020-01-04 15:41:00;8.3;354.8;356.0;0;;5.328337;60.03976
259620000;2020-01-04 15:42:00;8.3;354.9;356.0;0;;5.327977;60.042064
259620000;2020-01-04 15:43:00;8.3;356.5;357.0;0;;5.327658;60.044233
259620000;2020-01-04 15:44:00;8.3;356.5;356.0;0;;5.327266;60.046667
259620000;2020-01-04 15:45:00;8.4;354.6;354.0;0;;5.326963;60.048933
259620000;2020-01-04 15:46:00;8.3;348.9;350.0;0;;5.326306;60.051223
259620000;2020-01-04 15:47:00;8.3;349.4;349.0;0;;5.325404;60.053464
259620000;2020-01-04 15:48:00;8.3;348.7;348.0;0;;5.324515;60.055727
259620000;2020-01-04 15:49:00;8.3;348.3;349.0;0;;5.323605;60.057964
259620000;2020-01-04 15:50:00;8.4;347.3;347.0;0;;5.322551;60.060227
259620000;2020-01-04 15:51:00;8.4;346.7;348.0;0;;5.321456;60.062473
259620000;2020-01-04 15:52:00;8.4;347.1;348.0;0;;5.320417;60.064745
259620000;2020-01-04 15:53:00;8.4;346.2;347.0;0;;5.31936;60.067056
259620000;2020-01-04 15:54:00;8.5;346.4;346.0;0;;5.318197;60.06936
